"","cantidad..1.","cantidad..2.","cantidad..3.","cantidad..4.","cantidad..5.","cantidad..6.","cantidad..7.","cantidad..8.","cantidad..9.","cantidad..10.","cantidad..11.","temperatura_media_media..1.","temperatura_media_media..2.","temperatura_media_media..3.","temperatura_media_media..4.","temperatura_media_media..5.","temperatura_media_media..6.","temperatura_media_media..7.","temperatura_media_media..8.","temperatura_media_media..9.","temperatura_media_media..10.","temperatura_media_media..11.","indice..1.","indice..2.","indice..3.","indice..4.","indice..5.","indice..6.","indice..7.","indice..8.","indice..9.","indice..10.","indice..11.","humedad_min_media_porc..1.","humedad_min_media_porc..2.","humedad_min_media_porc..3.","humedad_min_media_porc..4.","humedad_min_media_porc..5.","humedad_min_media_porc..6.","humedad_min_media_porc..7.","humedad_min_media_porc..8.","humedad_min_media_porc..9.","humedad_min_media_porc..10.","humedad_min_media_porc..11.","humedad_max_media_porc..1.","humedad_max_media_porc..2.","humedad_max_media_porc..3.","humedad_max_media_porc..4.","humedad_max_media_porc..5.","humedad_max_media_porc..6.","humedad_max_media_porc..7.","humedad_max_media_porc..8.","humedad_max_media_porc..9.","humedad_max_media_porc..10.","humedad_max_media_porc..11.","lluvia_mm..1.","lluvia_mm..2.","lluvia_mm..3.","lluvia_mm..4.","lluvia_mm..5.","lluvia_mm..6.","lluvia_mm..7.","lluvia_mm..8.","lluvia_mm..9.","lluvia_mm..10.","lluvia_mm..11.","humedad_media_media_porc..1.","humedad_media_media_porc..2.","humedad_media_media_porc..3.","humedad_media_media_porc..4.","humedad_media_media_porc..5.","humedad_media_media_porc..6.","humedad_media_media_porc..7.","humedad_media_media_porc..8.","humedad_media_media_porc..9.","humedad_media_media_porc..10.","humedad_media_media_porc..11.","temperatura_max_media..1.","temperatura_max_media..2.","temperatura_max_media..3.","temperatura_max_media..4.","temperatura_max_media..5.","temperatura_max_media..6.","temperatura_max_media..7.","temperatura_max_media..8.","temperatura_max_media..9.","temperatura_max_media..10.","temperatura_max_media..11.","nivel..1.","nivel..2.","nivel..3.","nivel..4.","nivel..5.","nivel..6.","nivel..7.","nivel..8.","nivel..9.","nivel..10.","nivel..11.","cantidad","temperatura_min_media..1.","temperatura_min_media..2.","temperatura_min_media..3.","temperatura_min_media..4.","temperatura_min_media..5.","temperatura_min_media..6.","temperatura_min_media..7.","temperatura_min_media..8.","temperatura_min_media..9.","temperatura_min_media..10.","temperatura_min_media..11."
"cantidad..1.",1,0.945631811944351,0.876052644737287,0.81114986018714,0.722262122326887,0.635902505912869,0.559321825466576,0.509938258396921,0.454111756184551,0.396350943925682,0.356645114459552,0.0935256869224744,0.144124814928842,0.165716290033575,0.188605652438699,0.221807580557849,0.259084423668404,0.286546296721068,0.30523720439062,0.325260570306699,0.346630984678023,0.359441129702865,0.127820215730336,0.13986835342319,0.158914523206897,0.192306083468813,0.218499171587558,0.244764633607325,0.267598730923675,0.271986636575188,0.27922450097703,0.282236866078362,0.278743475461729,0.0635914836035572,0.0765775221318469,0.0558428202201349,0.029526324435792,0.0570097566426494,0.0414046663920822,-0.00389446531032778,-0.00904719654983363,-0.0379589630543004,-0.0749975413035797,-0.126338512743552,0.071460053611265,0.0709670784819407,0.0677334752376008,0.0533831581008257,0.0536846096956473,0.0353025241834675,0.00486196273880596,-0.00164021893414106,-0.0189848145784842,-0.0512187808541113,-0.084800505784191,-0.0203666783292575,-0.0142133748892703,-0.019499618829754,-0.0236221781965287,0.000289001152919918,0.00389532258645959,-0.0173048766923054,0.00381159194412207,0.0228138166390763,0.0208561056935747,0.0131180951589199,0.0809403460732586,0.0852589628893417,0.0670513134279765,0.0437649204891233,0.05726429342723,0.0362645683560331,-0.00317210260782431,-0.00654304742429056,-0.0317817722442624,-0.0698628839304162,-0.119527524058025,0.0964285032962577,0.143187094855289,0.166114573194954,0.188122290059055,0.208382267814337,0.243440842451072,0.275454471444528,0.291484782873218,0.315818489284982,0.340136237545428,0.361655342496475,-0.059490799417641,-0.101031764683312,-0.152617067503752,-0.206503896167194,-0.257006863269645,-0.303320759889129,-0.343650079308045,-0.373650173777517,-0.396896156710773,-0.414330640263029,-0.424348188760247,0.94562261602115,0.0975099714540873,0.151771662050127,0.172973732769017,0.195095799348418,0.238556317284869,0.276954020315761,0.297602768957848,0.318651158014716,0.332708143360301,0.349024634153499,0.352412339856013
"cantidad..2.",0.945631811944351,1,0.945627519208698,0.876206427283441,0.811328919833606,0.722455442309033,0.635996271884774,0.559428147922691,0.51007053945035,0.454285380008286,0.396527162639228,0.0412115692351315,0.0927934944353959,0.142650688264527,0.164875433264326,0.187144467933434,0.221204486477279,0.258370560707614,0.28568299765488,0.304782356601402,0.324070760149645,0.34610106461886,0.129091713916477,0.130164212287287,0.142178031060975,0.161206235008304,0.194613545853946,0.220771183513643,0.246980123699123,0.26973012063495,0.273989973071443,0.281092123494786,0.283968917579075,0.0815425482600976,0.0643434597016851,0.0770859627694209,0.0556861598342458,0.0297910283638198,0.0579075050361688,0.0415566357870111,-0.0033539287236135,-0.00883751962434109,-0.0375789370620817,-0.0730395319195701,0.0830169332504442,0.0707847945183162,0.0720375094581447,0.0674122659825129,0.0536315924869125,0.0536608448915937,0.0350036310350789,0.00457522075934281,-0.00114698303527713,-0.0195459519462733,-0.0488194992910483,-0.00663558963198013,-0.0206458793253066,-0.0136495473867744,-0.0187834971902989,-0.0233300552898295,0.00120081996505098,0.0037208891920445,-0.0171447656079078,0.00614154871058658,0.0226667351653172,0.0213008147527313,0.0986247099054006,0.0812656120738312,0.086069882618684,0.0668719189437452,0.0442553334342322,0.0577161206479105,0.0363682443950977,-0.00297025944274196,-0.00590347759029422,-0.0318563601756485,-0.0674173802646602,0.0421188171259537,0.0956667235715364,0.141620527610113,0.16540050524265,0.186691657084051,0.208010173375339,0.242373080193705,0.274297176629321,0.291032237002644,0.314252405163835,0.338935426295883,-0.0278675376054792,-0.0583360600210556,-0.0999901787354563,-0.151750430173017,-0.205782112178917,-0.256052011865552,-0.301905946701426,-0.342333998182729,-0.371902087361199,-0.394661751777174,-0.411946270040918,0.876026455388361,0.0479446277726834,0.0968801674279758,0.150403880444788,0.17197260371093,0.19351558728512,0.237783956474397,0.276494943644416,0.296847520808869,0.318204008810577,0.331973554322797,0.349170093482875
"cantidad..3.",0.876052644737287,0.945627519208698,1,0.945753976410244,0.876369794851604,0.811513839350986,0.722580760995162,0.636169013793865,0.559636854096231,0.510315555169552,0.454550611341633,0.000879715399816212,0.040319172262977,0.090939774185844,0.141489575956598,0.163035932915256,0.186419612038448,0.220253408414797,0.257308808094449,0.285127601192294,0.303154194139899,0.323249429392044,0.125942786916376,0.131548464234897,0.132547103749519,0.144527874091507,0.163536404705823,0.196950434783988,0.223068679940333,0.249218776101541,0.271882082019213,0.276022379453176,0.283005591580551,0.145541679585425,0.0823589174172618,0.0650818975276,0.0766074292909552,0.0558067857588584,0.0299567963367365,0.0576499639518585,0.0420466154429134,-0.00308432069705539,-0.00842974790872493,-0.0351870618576582,0.118005358079923,0.0818715615083687,0.0721954035651251,0.0717251301667031,0.0677059105817018,0.0529969332114133,0.0527820421353418,0.0342034832004189,0.00508643636617919,-0.00179960862087147,-0.0165860823785175,-0.00173658086176388,-0.00679605088300674,-0.0198148841456495,-0.0127593800130035,-0.0181022058104567,-0.0230011562152699,0.000249968152497842,0.00367101836108608,-0.0168404832706883,0.00614516277793898,0.0234265784659125,0.154747530234268,0.0986946067648981,0.0823096489500608,0.0857293631305852,0.0673298827978019,0.044005080383059,0.0573645553996176,0.0362890689722121,-0.00217972929841993,-0.00607014547339083,-0.0289229428223513,-0.00611003994734619,0.0412070180746613,0.0937276763934484,0.140696802123422,0.163617808522865,0.186268926803524,0.206681293432642,0.240956714040768,0.273750456338214,0.289074273722411,0.312702858887724,0.00172319025357174,-0.0265201017559609,-0.0570620770936404,-0.098874538674795,-0.150781522587234,-0.204571360890748,-0.254348743521863,-0.300311431269422,-0.340244858257794,-0.369246681506098,-0.391818602342584,0.810942738230401,0.0162734477281764,0.0471591644467387,0.0951627262854288,0.148975577990878,0.169945730609605,0.192540784771058,0.237038078829295,0.275545226920738,0.296292500122196,0.317076085044163,0.331936853942587
"cantidad..4.",0.81114986018714,0.876206427283441,0.945753976410244,1,0.945772020253728,0.876412456856396,0.811664490806117,0.722812150551763,0.636410954494802,0.559874952583276,0.510613057620813,-0.0449874258442066,0.000409772233190201,0.0398474846873779,0.089802404105131,0.139950513405912,0.162961789452333,0.185551318812434,0.219828886705049,0.257483629634601,0.2832927815469,0.30214066845103,0.106467058485863,0.126663216331343,0.132274856604949,0.133257649782663,0.145261321067722,0.164305161499718,0.197777305817589,0.223913048259838,0.250056858919043,0.272704204713661,0.276792238545229,0.181437789359189,0.145713260400936,0.0829822808527972,0.0640280016389314,0.0760715491630883,0.0543191574392345,0.0284915238046179,0.0571499150522287,0.0422076948023293,-0.00308693407927031,-0.00658308890361019,0.144349681564407,0.116417914651527,0.0827273352279026,0.0723358131263575,0.0718573077737665,0.0658021308639904,0.0510644471324387,0.0510397899820498,0.0341807060261876,0.00486837438607421,0.000698187631495822,0.0020570495088925,-0.00131590389921311,-0.00599525743839194,-0.0193335520475984,-0.0114730076994035,-0.019711432894599,-0.0256996239660507,-0.000602926396050938,0.000269187416922036,-0.0162563821472631,0.00715967758921978,0.194283424671122,0.154016220432313,0.0992863357622244,0.0818126344773228,0.0855621790571712,0.0655101798758258,0.042372660665182,0.0561200524425161,0.0366835000889348,-0.00247865872634765,-0.00373093147725006,-0.0582852538069418,-0.006475799464501,0.0406271979698503,0.0930601208615428,0.139331683111327,0.164220226879439,0.185285945490423,0.206133845713456,0.241161956885327,0.271949852292422,0.287591240977629,0.0271720843599025,0.00187657238191156,-0.0265135211705395,-0.0571324060741304,-0.0990269066989546,-0.150573237464463,-0.203701835013516,-0.253518404027343,-0.298947035679566,-0.338083726519151,-0.366811532327635,0.722022253321218,-0.0246864523788656,0.0157847078563377,0.0467314408139352,0.0935836629880133,0.147055565792289,0.169235857457281,0.191553802090678,0.236486159283951,0.275759115722781,0.294855680797193,0.31665349161658
"cantidad..5.",0.722262122326887,0.811328919833606,0.876369794851604,0.945772020253728,1,0.945791018683367,0.876547225402444,0.811869418931691,0.72302829320516,0.636625063718068,0.560162861354763,-0.100256197820161,-0.0454357199167624,-0.000110060128140924,0.0387484955193266,0.0883572910452335,0.13988419624718,0.162095391757349,0.185139155458849,0.219997544521733,0.255651000745463,0.282261841248236,0.0952720898196794,0.10703895110506,0.127316480999025,0.132935487945787,0.133906486148285,0.145932513389953,0.165008483255592,0.198530868114714,0.224670966725914,0.250819595305536,0.273444355063386,0.212010454754071,0.181608612556815,0.14629858376944,0.0818841926691238,0.063442945468904,0.0746239480408228,0.0528326986930016,0.0278738345389563,0.0573086924709408,0.0421975797779537,-0.00123393892550066,0.183955188357201,0.142677257516832,0.117223384181459,0.0828882827694356,0.072465887309332,0.0698675625488019,0.0637934244838265,0.0492447698824968,0.0510045461703549,0.0339704606872515,0.00736220784693847,0.0154691126414161,0.00250991023673105,-0.000500630960229545,-0.00552162536438664,-0.0179934870054838,-0.0131246033760996,-0.0225182275396354,-0.0266324352453467,-0.00447857200666517,0.000898783768896053,-0.0151884883384762,0.235988142447805,0.193559125571535,0.154564288332423,0.0987672888494558,0.0816151038735264,0.0837293348984513,0.0638477849442111,0.0410061699624633,0.0565050224750364,0.0363658057747798,-0.000121725999628142,-0.115946280007867,-0.058635909560677,-0.00709834663989215,0.0399892319850449,0.0917722086850076,0.139921209804104,0.163251483983568,0.184751788481633,0.206332939326036,0.239401843831139,0.27046527459807,0.05153584853403,0.0273470692598609,0.00192354049055663,-0.0265436136683249,-0.0572230596205921,-0.0987904030802512,-0.149744848220678,-0.202906617986234,-0.252217497844612,-0.296873232458872,-0.335713189587448,0.635647468412122,-0.0743982089353139,-0.0251571204517423,0.0153341896256812,0.0451942872342434,0.0917845494134552,0.146354221471331,0.168229514935477,0.191021500202747,0.236690153510037,0.274299018003748,0.294403403270488
"cantidad..6.",0.635902505912869,0.722455442309033,0.811513839350986,0.876412456856396,0.945791018683367,1,0.945894040571518,0.87672150193751,0.812046495457718,0.723207346629404,0.636882700486236,-0.146093897944022,-0.100717988892157,-0.0461518732227568,-0.00119443783784851,0.037357973244475,0.0882267183755903,0.139003231077146,0.161632146642527,0.185235919473202,0.218182897916064,0.25461030867258,0.0772763550476684,0.0958852432858116,0.107700108234202,0.1280489803047,0.133672561881622,0.134631165709451,0.146674097875697,0.165774855283791,0.199322082582384,0.225477617944268,0.251614066331656,0.254842699986722,0.212234103217462,0.182193058075054,0.145194002423012,0.0813261672997901,0.0619262222251398,0.073184204062884,0.0523007390355621,0.0280500765676651,0.0573213875536588,0.0439216030369889,0.214902175875724,0.182191585360254,0.143503721063076,0.117371492225043,0.0830290717762101,0.0704659599669078,0.0678402578006173,0.0619615806627343,0.0492356752066493,0.0507607265356083,0.0363310279288381,0.0180170503584337,0.0159152508695894,0.00335339515224376,1.10681071448213e-05,-0.00416640795796695,-0.0196531793911518,-0.0159187335149134,-0.0234368914601074,-0.0317535191120808,-0.00386067861558958,0.00197837143458879,0.278428313596606,0.235333963457533,0.19412023544712,0.154017682855266,0.0986057952162025,0.0797653923028645,0.0821114032774276,0.0625556392891731,0.0414319197988724,0.0561780281942035,0.0385409257371927,-0.164618090716878,-0.116330458727024,-0.0594406769897413,-0.00773709793100303,0.0387423647525627,0.0922061695161802,0.138928854346482,0.16264544142392,0.184886325926248,0.204588289990316,0.237918631048612,0.0769603980120433,0.0518405310653867,0.0275443719278496,0.00204158006029695,-0.0264899886292669,-0.0568715523521006,-0.0979214547750563,-0.148911947879819,-0.201601843915979,-0.250188930973592,-0.294544674903582,0.559188673693223,-0.113983573413353,-0.0748754195082244,-0.0257729369467367,0.0138115241888281,0.0434722254733789,0.0910840071551255,0.145337640039367,0.167666182059254,0.191139026275883,0.235233108372153,0.273840466713076
"cantidad..7.",0.559321825466576,0.635996271884774,0.722580760995162,0.811664490806117,0.876547225402444,0.945894040571518,1,0.945923241363414,0.876784071769951,0.812146061388873,0.723351490688104,-0.181554270000265,-0.146874216863905,-0.102827522085728,-0.0471284490243383,-0.00269823813099099,0.0366410968132319,0.0873470299949344,0.137997213829933,0.16106284188298,0.183691384542821,0.217344745308711,0.0509756800419435,0.0792910408762076,0.0979341700028394,0.109739905380252,0.130098088218746,0.135670371290813,0.136561983818754,0.148562200806541,0.167609961111135,0.201136794477742,0.227228939057798,0.285901661170744,0.255667445653811,0.212869176521172,0.181583832583474,0.145270556031264,0.08153742025525,0.0614491015083995,0.0735859043541036,0.052553742775519,0.0284130024639034,0.0593115382298104,0.222821632113708,0.213433773257456,0.183406012312801,0.143261847338499,0.11764012851242,0.0821805103518782,0.0693526948476528,0.0668353949184999,0.0624260154603565,0.0486142216923694,0.0532391190910833,-0.00418256319172046,0.0179628515896642,0.0167575393331366,0.00421704742916869,0.000837443143859781,-0.00398257570864597,-0.0210329808005496,-0.0161359695019899,-0.0242350400614513,-0.0316659293192018,-0.002986030977351,0.298984212392501,0.278599417998216,0.236227167284806,0.193692899780379,0.154443832047625,0.0983137385394378,0.0792160247036922,0.0819365411821911,0.063299521532274,0.041220088349026,0.0585401485997518,-0.206769576435873,-0.165451043662098,-0.118460400123456,-0.0602231956524137,-0.00919957990877547,0.0381337959568857,0.0909933913041055,0.137573815491298,0.16208710579549,0.183086903696662,0.203135902905067,0.102532782504368,0.078410772715733,0.0532800236388702,0.0288478964797739,0.00323665050280038,-0.025198931115666,-0.0553458941145984,-0.0964903092984881,-0.147117430363349,-0.19935640618852,-0.247711548321657,0.509801867824955,-0.144982697515501,-0.114673226837916,-0.0767595115679304,-0.0269958830882054,0.0121533121638359,0.0425980745951417,0.090334381769885,0.144458986763689,0.167085368287273,0.190012760050802,0.235101645688563
"cantidad..8.",0.509938258396921,0.559428147922691,0.636169013793865,0.722812150551763,0.811869418931691,0.87672150193751,0.945923241363414,1,0.945955265668495,0.876867897829339,0.812257134090392,-0.220875797015021,-0.182475370827924,-0.149545080695931,-0.103833087643313,-0.0487375120560046,-0.00362530357479315,0.0357051553349483,0.0861236853007842,0.137198276837325,0.159454433618624,0.182824935581017,0.0259637010665943,0.0533500527661433,0.081740729266271,0.100395915254305,0.112174140540814,0.132519116273396,0.138024766694766,0.138837489335912,0.15075909789163,0.169765149076698,0.203232197647945,0.279517723633025,0.286925825183307,0.256363961060344,0.212278757945197,0.181792751020385,0.146214647731556,0.0812258507870217,0.0620258530976133,0.0738771481052999,0.0530278795642405,0.0308754432253823,0.212133109195967,0.221265276789721,0.214852756415432,0.183054366717912,0.143579339664479,0.116967142425567,0.0811184120877802,0.0683894504716224,0.0674432069425079,0.0616542428426939,0.051497699209391,-0.0360529695635031,-0.00435545597285432,0.0189040215391089,0.0177839241891185,0.00503317744355696,0.00143268994434769,-0.00517002182011021,-0.0211406821081277,-0.0156774129294904,-0.0242322039762404,-0.0307039146931874,0.290432610260207,0.299296596818468,0.279643227731977,0.235760004252871,0.194283762580374,0.154638839800269,0.0979341497260973,0.0791921775760118,0.0828227325684742,0.0630784536225298,0.0440837310257026,-0.24142287742194,-0.207776349351411,-0.168118810023526,-0.119323435588382,-0.0618089766618624,-0.0101739116147488,0.0368009269070734,0.0893327221746673,0.136776483552222,0.16014967949236,0.181525592972335,0.129740101758429,0.104400280862797,0.0803046988850516,0.0550120992066779,0.0304548785186165,0.00488846431266248,-0.0233872616497434,-0.0536574711989011,-0.0944762907940983,-0.144745671308756,-0.196764397036364,0.453945124759118,-0.187334228326941,-0.145782135631676,-0.117057633193671,-0.0779867673060496,-0.0287258106638292,0.0111645339448062,0.0418436865717678,0.0893224692038728,0.143636852782589,0.165924772476932,0.189918872701162
"cantidad..9.",0.454111756184551,0.51007053945035,0.559636854096231,0.636410954494802,0.72302829320516,0.812046495457718,0.876784071769951,0.945955265668495,1,0.94599115513832,0.876937446140918,-0.2559106058893,-0.221694623375786,-0.18496011925194,-0.150452551296389,-0.105220093919148,-0.0495695772284942,-0.00448710604482058,0.0346080788744761,0.085410195851554,0.13564989484382,0.158606962318538,0.00856188794548989,0.027942912869017,0.0554202165354068,0.0838798329104441,0.102545884183384,0.114298763410652,0.13462971530837,0.140075796138371,0.140800027777536,0.1526838885433,0.171633247494366,0.279010157767033,0.280430635777012,0.287552144165229,0.255728162642444,0.21243131746503,0.182788969583542,0.145925810468987,0.0817097292419572,0.0622991244224101,0.0742875310937279,0.055231010544451,0.199565161381733,0.210590316205633,0.222547263856489,0.214574700954405,0.183330293527255,0.142841631029513,0.115838977605151,0.0800824029929566,0.0689135518097775,0.0667492926084753,0.0642760660991283,-0.0231194270791997,-0.0361677091780204,-0.00342610397873178,0.0198450340379971,0.0186400651511358,0.00541050758671929,0.000109369507211196,-0.00535198939430264,-0.021557161450397,-0.0156005419639191,-0.0232816943879132,0.284871043150695,0.290634707847897,0.300227241132622,0.279156996964027,0.236287927846155,0.194511993969166,0.154273709833434,0.0978286855198311,0.0800034906527854,0.0825883052693552,0.0656191804960993,-0.273992885359802,-0.242323946428782,-0.210252932236516,-0.168883695609017,-0.120685984056384,-0.0627347482927475,-0.0113666222065268,0.0353047513922348,0.0886222535330496,0.134964518655218,0.158672947191524,0.154305017183085,0.131463664999017,0.106149883306739,0.0818975306216927,0.0564791949306197,0.0319504613089904,0.00652192769056399,-0.0218641975047425,-0.0518517466269115,-0.0923641664002183,-0.142426140177777,0.3961359756491,-0.220838682545139,-0.188045414112199,-0.147980966307262,-0.118192549748367,-0.0794995306315159,-0.029619076265742,0.0104236551943939,0.0409360171144546,0.0885841365531891,0.142495789687079,0.165788572315901
"cantidad..10.",0.396350943925682,0.454285380008286,0.510315555169552,0.559874952583276,0.636625063718068,0.723207346629404,0.812146061388873,0.876867897829339,0.94599115513832,1,0.946026457657303,-0.285665317317386,-0.256613192792031,-0.223903920531013,-0.185826561098384,-0.151668750088285,-0.105914924857557,-0.0503764652567941,-0.00542859102898582,0.0340347388461608,0.0838967564524065,0.134769195915072,-0.00977752364460302,0.0100516240624945,0.0295113525007548,0.0570797893610503,0.0856091937890399,0.104291844020279,0.116028746197486,0.136353317961994,0.141735371642981,0.142423389067263,0.154264096013662,0.306951255813171,0.279760264671905,0.28103618406539,0.286781575247016,0.255755290052453,0.213217928131386,0.182312065647471,0.146310145508527,0.0819527014339069,0.0626120725264668,0.0762859203187751,0.188852442410377,0.197949028273885,0.211760946237921,0.222375512707431,0.214801834257177,0.182375217725446,0.141483043938388,0.114596558406398,0.0804808471476346,0.0683222717899159,0.0692482703215728,-0.0393774466218969,-0.0230920004092883,-0.0352111168097277,-0.00257084382457771,0.0208408402190479,0.0186738108143377,0.0037169494078681,-0.000253272334087496,-0.00606645484313629,-0.0213442772798536,-0.014604359402747,0.293634372660698,0.284855596620151,0.291466861233123,0.299695484233786,0.279560700599057,0.236342330264995,0.193954540295279,0.154044332433962,0.0985399859253548,0.0797392808383359,0.0848807780235242,-0.308184355016728,-0.274757571373159,-0.244508417917284,-0.21093006889416,-0.170055369096887,-0.121483839292537,-0.0637882608653918,-0.0126546670691211,0.0347341476520129,0.086945185856991,0.13353370965465,0.182337732953405,0.155784821546362,0.132968507276682,0.107502142704374,0.0831327825235686,0.0577498395188693,0.0333754922136448,0.00785201325552323,-0.0202627725361287,-0.0499514842156104,-0.0902793108211245,0.356438954616286,-0.245703606909998,-0.221461472206774,-0.189988270540968,-0.149113982081423,-0.119574421188804,-0.0802933524170653,-0.0303962029186836,0.0096210631062519,0.0403436510949445,0.0874205259021568,0.142265300393472
