Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,51.680000,53.060001,51.220001,53.040001,52.198391,9819500
2018-01-03,53.540001,54.279999,53.189999,53.980000,53.123478,10898900
2018-01-04,54.500000,54.939999,53.980000,54.290001,53.428555,9462800
2018-01-05,54.650002,54.910000,54.220001,54.599998,53.733639,10902200
2018-01-08,55.009998,56.450001,54.970001,55.919998,55.032696,12658000
2018-01-09,56.169998,56.180000,54.040001,54.860001,53.989513,13564900
2018-01-10,54.090000,54.110001,52.560001,53.299999,52.454269,14537200
2018-01-11,53.470001,53.529999,52.619999,53.200001,52.355854,10694200
2018-01-12,53.240002,54.000000,53.080002,53.450001,52.601887,9072300
2018-01-16,54.820000,55.400002,54.009998,54.500000,53.635227,14385000
2018-01-17,55.709999,57.520000,55.470001,57.340000,56.430157,17623500
2018-01-18,56.750000,58.630001,56.680000,57.400002,56.489208,17677700
2018-01-19,57.700001,57.720001,56.220001,57.400002,56.489208,11458700
2018-01-22,57.470001,57.529999,56.869999,57.459999,56.548256,11479800
2018-01-23,57.880001,58.180000,57.180000,57.790001,56.873020,8813500
2018-01-24,57.320000,57.419998,56.360001,56.880001,55.977459,11787300
2018-01-25,58.180000,58.730000,55.459999,55.759998,54.875229,15271900
2018-01-26,56.419998,57.119999,55.930000,57.119999,56.213650,11253500
2018-01-29,56.730000,56.919998,54.820000,55.330002,54.452053,12350600
2018-01-30,54.279999,54.330002,53.209999,53.380001,52.532997,14603700
2018-01-31,53.680000,54.139999,52.910000,53.630001,52.779034,13166800
2018-02-01,53.160000,54.180000,52.930000,53.279999,52.434586,9706000
2018-02-02,52.580002,52.790001,50.520000,50.680000,49.875839,16813100
2018-02-05,49.980000,51.470001,48.310001,48.310001,47.543446,17999700
2018-02-06,47.410000,50.259998,46.400002,50.250000,49.452663,21455700
2018-02-07,49.869999,50.580002,48.669998,48.689999,47.917416,14763400
2018-02-08,48.980000,49.150002,45.740002,45.750000,45.024063,19922900
2018-02-09,46.840000,48.500000,45.130001,48.080002,47.317093,22648200
2018-02-12,48.959999,49.880001,48.410000,49.500000,48.714561,16326100
2018-02-13,49.259998,49.650002,48.500000,49.549999,48.763763,12878600
2018-02-14,49.400002,52.119999,49.150002,51.959999,51.135525,22166600
2018-02-15,52.160000,54.000000,50.580002,53.990002,53.133320,26888200
2018-02-16,53.799999,56.090000,53.669998,55.029999,54.156815,27810900
2018-02-20,54.740002,57.360001,54.349998,56.660000,55.862461,22000700
2018-02-21,57.000000,57.340000,56.080002,56.130001,55.339924,16464300
2018-02-22,56.490002,56.980000,55.810001,56.070000,55.280766,14924600
2018-02-23,56.590000,57.130001,56.310001,57.009998,56.207535,13532400
2018-02-26,57.520000,59.000000,57.340000,58.810001,57.982201,14822200
2018-02-27,58.639999,58.900002,57.630001,57.639999,56.828671,13102700
2018-02-28,57.900002,58.770000,57.580002,57.590000,56.779373,13152700
2018-03-01,57.540001,58.439999,56.119999,57.070000,56.266693,17330200
2018-03-02,55.900002,58.139999,55.119999,58.029999,57.213181,15719300
2018-03-05,57.310001,58.419998,57.110001,57.630001,56.818810,13326700
2018-03-06,58.320000,60.180000,58.099998,59.990002,59.145592,23269600
2018-03-07,59.099998,60.090000,58.599998,59.419998,58.583611,17284000
2018-03-08,59.759998,59.910000,59.000000,59.369999,58.534317,12223400
2018-03-09,59.709999,61.759998,59.470001,61.610001,60.742786,18066500
