Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,40.860001,41.110001,40.049999,41.070000,40.160168,18270300
2018-01-03,40.750000,41.369999,40.049999,40.410000,39.514793,21062900
2018-01-04,40.470001,40.720001,40.099998,40.669998,39.769028,18143800
2018-01-05,40.910000,41.240002,40.410000,41.040001,40.130833,17007500
2018-01-08,40.770000,41.029999,40.290001,40.480000,39.583241,15189500
2018-01-09,40.529999,41.029999,40.450001,40.610001,39.710358,17026000
2018-01-10,40.430000,41.169998,40.160000,41.090000,40.179726,20198100
2018-01-11,41.200001,42.669998,41.139999,42.599998,41.656273,36703700
2018-01-12,42.570000,42.709999,41.930000,42.439999,41.499817,18672300
2018-01-16,42.590000,42.590000,41.750000,41.820000,40.893551,19018100
2018-01-17,42.049999,42.209999,41.410000,41.680000,40.756657,17078100
2018-01-18,41.060001,41.939999,41.009998,41.849998,40.922886,21817300
2018-01-19,41.950001,42.580002,41.790001,42.500000,41.558491,23591700
2018-01-22,42.410000,42.919998,42.150002,42.889999,41.939850,22437400
2018-01-23,42.500000,42.840000,41.959999,42.439999,41.499817,19155500
2018-01-24,42.700001,44.000000,41.570000,42.990002,42.037636,48918800
2018-01-25,43.119999,43.529999,41.980000,42.139999,41.206463,27799100
2018-01-26,42.099998,42.799999,41.950001,42.799999,41.851845,27999900
2018-01-29,42.299999,42.340000,41.349998,41.980000,41.050011,21559300
2018-01-30,42.029999,42.459999,41.689999,42.340000,41.402035,21398600
2018-01-31,42.290001,42.730000,42.080002,42.529999,41.587822,26926300
2018-02-01,42.169998,42.590000,41.880001,41.889999,40.962002,26485900
2018-02-02,41.500000,42.160000,40.830002,41.110001,40.199280,32030600
2018-02-05,41.360001,41.639999,39.099998,39.200001,38.331593,42367300
2018-02-06,38.919998,39.799999,38.500000,39.669998,38.791183,48696300
2018-02-07,39.500000,40.419998,39.369999,40.150002,39.260551,33065600
2018-02-08,39.900002,40.160000,38.150002,38.189999,37.343967,34122900
2018-02-09,38.369999,38.990002,37.430000,38.570000,37.715557,37376000
2018-02-12,38.599998,39.070000,38.270000,38.540001,37.686214,30682500
2018-02-13,38.160000,39.169998,38.099998,38.959999,38.096909,18133300
