date,aaba,aal,aapl,adbe,akam,alxn,amat,amzn,atvi,avgo,bidu,cmcsa,csco,ctxs,ea,fb,fox,foxa,goog,googl,intc,khc,mar,msft,nflx,pypl,trip,tsla,wba,nasdaq
2018-01-02,73.129997,52.990002,172.259995,177.699997,65.559998,124.050003,53.040001,1189.010010,64.309998,267.010010,242.399994,41.070000,38.860001,88.690002,109.449997,181.419998,35.360001,35.860001,1065.000000,1073.209961,46.849998,77.019997,133.750000,85.949997,201.070007,73.839996,34.770000,320.529999,74.949997,7006.899902
2018-01-03,73.779999,52.340000,172.229996,181.039993,65.940002,124.949997,53.980000,1204.199951,65.309998,269.929993,245.550003,40.410000,39.169998,89.650002,109.750000,184.669998,35.930000,36.540001,1082.479980,1091.520020,45.259998,77.010002,136.449997,86.349998,205.050003,76.750000,34.970001,317.250000,75.510002,7065.529785
2018-01-04,74.570000,52.669998,173.029999,183.220001,65.599998,122.690002,54.290001,1209.589966,64.660004,270.019989,245.729996,40.669998,38.990002,90.699997,107.190002,184.330002,36.169998,36.820000,1086.400024,1095.760010,44.430000,77.910004,135.699997,87.110001,205.630005,76.730003,34.919998,314.619995,71.599998,7077.910156
2018-01-05,76.489998,52.650002,175.000000,185.339996,65.830002,122.800003,54.599998,1229.140015,66.370003,271.619995,245.139999,41.040001,39.529999,91.480003,112.389999,186.850006,36.349998,36.750000,1102.229980,1110.290039,44.740002,77.839996,134.399994,88.190002,209.990005,78.699997,34.730000,316.579987,72.919998,7136.560059
2018-01-08,76.480003,52.130001,174.350006,185.039993,65.879997,119.699997,55.919998,1246.869995,66.629997,272.269989,250.820007,40.480000,39.939999,90.970001,113.220001,188.279999,35.849998,36.240002,1106.939941,1114.209961,44.740002,78.480003,136.339996,88.279999,212.050003,79.050003,34.669998,336.410004,73.849998,7157.390137
2018-01-09,76.589996,52.080002,174.330002,186.699997,67.489998,121.800003,54.860001,1252.699951,66.190002,268.500000,254.729996,40.610001,39.689999,91.190002,112.180000,187.869995,36.180000,36.540001,1106.260010,1112.790039,43.619999,78.620003,137.710007,88.220001,209.309998,79.190002,34.590000,333.690002,73.419998,7163.580078
2018-01-10,76.510002,53.779999,174.289993,187.110001,66.330002,121.459999,53.299999,1254.329956,66.830002,262.829987,248.949997,41.090000,39.910000,90.820000,112.250000,187.839996,35.320000,35.599998,1102.609985,1110.140015,42.500000,77.889999,137.699997,87.820000,212.520004,79.370003,34.490002,334.799988,74.080002,7153.569824
2018-01-11,76.139999,56.419998,175.279999,188.919998,65.209999,122.480003,53.200001,1276.680054,69.239998,263.500000,250.220001,42.599998,40.099998,89.809998,112.000000,187.770004,35.799999,36.200001,1105.520020,1112.050049,43.410000,77.129997,139.429993,88.080002,217.240005,79.750000,35.279999,337.950012,75.379997,7211.779785
2018-01-12,75.849998,58.470001,177.089996,195.050003,65.519997,122.709999,53.450001,1305.199951,70.360001,264.290009,253.039993,42.439999,40.869999,90.040001,113.129997,179.369995,36.369999,36.730000,1122.260010,1130.650024,43.240002,77.349998,139.779999,89.599998,221.229996,80.540001,36.540001,336.220001,76.070000,7261.060059
2018-01-16,73.919998,57.980000,176.190002,192.460007,64.500000,124.480003,54.500000,1304.859985,68.709999,263.250000,257.779999,41.820000,40.540001,89.959999,111.919998,178.389999,35.790001,36.290001,1121.760010,1130.699951,43.139999,78.639999,139.119995,88.349998,221.529999,80.419998,35.889999,340.059998,76.029999,7223.689941
